City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,huarmey,-10.0681,-78.1522,19.49,83,19,3.66,PE,1670285869
268,tanout,14.9709,8.8879,21.52,19,85,5.17,NE,1670285870
269,broken hill,-31.95,141.4333,21.72,30,72,3.34,AU,1670285870
270,samarai,-10.6167,150.6667,28.06,73,83,3.05,PG,1670285870
271,itaporanga,-7.3044,-38.1503,26.69,62,90,3.78,BR,1670285871
272,tabou,4.423,-7.3528,25.7,87,86,2.73,CI,1670285871
273,angoche,-16.2325,39.9086,24.74,84,0,4.28,MZ,1670285871
274,xuddur,4.1213,43.8894,21.87,80,50,4.98,SO,1670285872
275,segezha,63.7415,34.3222,-4.58,81,100,6.15,RU,1670285872
276,calvinia,-31.4707,19.776,11.87,68,100,2.15,ZA,1670285872
277,srikakulam,18.3,83.9,18.89,84,28,2.43,IN,1670285873
278,zaranj,30.9667,61.8833,5.98,56,39,4.62,AF,1670285873
279,swan river,52.1058,-101.2676,-26.06,70,49,2.57,CA,1670285747
280,mariental,-24.6333,17.9667,19.48,18,0,6.17,NA,1670285873
281,ponca city,36.707,-97.0856,11.08,89,100,3.6,US,1670285821
282,sterling,39.0062,-77.4286,6.44,63,0,3.6,US,1670285874
283,ridgecrest,35.6225,-117.6709,14.82,40,20,6.17,US,1670285874
284,gaya,24.7833,85.0,9.95,93,0,0.0,IN,1670285875
285,haines junction,60.7522,-137.5108,-20.03,77,95,1.03,CA,1670285875
286,tiksi,71.6872,128.8694,-25.22,95,100,6.01,RU,1670285875
287,lahij,13.1667,44.5833,19.78,89,20,1.83,YE,1670285876
288,andahuaylas,-13.6556,-73.3872,11.33,82,59,2.22,PE,1670285876
289,komsomolskiy,40.4272,71.7189,-1.6,86,75,2.06,UZ,1670285876
290,milkovo,54.7167,158.6167,-10.26,75,53,5.83,RU,1670285877
291,klaksvik,62.2266,-6.589,3.51,62,77,11.52,FO,1670285877
292,fortuna,40.5982,-124.1573,11.1,88,75,0.0,US,1670285877
293,phan thiet,10.9333,108.1,24.5,84,68,1.63,VN,1670285878
294,aklavik,68.2191,-135.0107,-24.82,83,100,9.16,CA,1670285878
295,geraldton,-28.7667,114.6,23.23,56,57,7.2,AU,1670285878
296,faanui,-16.4833,-151.75,26.6,76,91,7.48,PF,1670285879
297,diffa,13.3154,12.6113,22.4,27,3,5.45,NE,1670285879
298,longyearbyen,78.2186,15.6401,-14.09,66,40,9.26,SJ,1670285879
299,hervey bay,-25.2986,152.8535,25.31,66,0,3.23,AU,1670285880
300,ucluelet,48.9329,-125.5528,4.49,86,100,0.69,CA,1670285747
301,muroto,33.2833,134.15,11.32,63,4,3.71,JP,1670285880
302,gumdag,39.2061,54.5906,-3.54,48,1,6.21,TM,1670285881
303,bubaque,11.2833,-15.8333,27.24,70,62,3.88,GW,1670285881
304,litovko,49.2361,135.1742,-16.5,90,40,4.25,RU,1670285881
305,vanimo,-2.6741,141.3028,26.82,85,100,0.52,PG,1670285882
306,saint austell,50.3383,-4.7658,8.13,81,75,4.12,GB,1670285883
307,palmeiras de goias,-16.805,-49.9258,21.91,79,100,1.46,BR,1670285883
